No,Time (s),Temperature (C),Gyro_x,Gyro_y,Gyro_z,Accel_x,Accel_y,Accel_z,Mag_x,Mag_y,Mag_z
85,153365.78,30.5,0.0053263223,0.0085221156,-0.0031957934,-0.095771484,0.0095771486,-10.027274,-0.37799999,-1.6005,1.6485
86,153365.78,30.5,0.0053263223,0.018109495,-0.0021305289,-0.095771484,0.019154297,-10.07516,-0.37799999,-1.6005,1.6485
87,153365.78,30.5,0.0021305289,0.017044231,0.0021305289,-0.067040041,0.0095771486,-10.151777,-0.37799999,-1.6005,1.6485
88,153365.78,30.5,-0.0031957934,0.0095873801,0.0053263223,-0.038308594,0.019154297,-10.07516,-0.37799999,-1.6005,1.6485
89,153365.78,30.5,-0.0042610578,0.0042610578,0.0010652645,-0.038308594,0.0095771486,-10.161355,-0.37799999,-1.6005,1.6485
90,153365.78,30.5,-0.0074568512,-0.0031957934,-0.0053263223,0,0.057462893,-10.065583,-0.37799999,-1.6005,1.6485
91,153365.78,30.5,-0.0053263223,-0.0053263223,-0.0085221156,-0.076617189,0.076617189,-10.065583,-0.37799999,-1.6005,1.6485
92,153365.78,30.5,-0.0031957934,-0.0074568512,-0.0042610578,-0.076617189,0.028731447,-10.094315,-0.37799999,-1.6005,1.6485
93,153365.79,30.5,0.0010652645,-0.0031957934,0.0031957934,-0.076617189,-0.0095771486,-10.161355,-0.37799999,-1.6005,1.6485
94,153365.79,30.5,0.0010652645,0.0010652645,0.0063915867,-0.047885742,0.038308594,-10.084738,-0.37799999,-1.6005,1.6485
95,153365.79,30.5,-0.0042610578,0.0021305289,0.0021305289,-0.076617189,0.0095771486,-10.065583,-0.37799999,-1.6005,1.6485
96,153365.79,30.5,-0.0074568512,0.0063915867,-0.0010652645,-0.076617189,0.067040041,-10.20924,-0.37799999,-1.6005,1.6485
97,153365.79,30.5,-0.0074568512,0.013848438,-0.0063915867,-0.067040041,0.028731447,-10.103891,-0.37799999,-1.6005,1.6485
98,153365.79,30.5,-0.0021305289,0.014913702,-0.0074568512,-0.067040041,0,-10.132624,-0.37799999,-1.6005,1.6485
99,153365.79,30.5,-0.0021305289,0.014913702,-0.0074568512,-0.067040041,0,-10.132624,-0.37799999,-1.6005,1.6485
100,153365.79,30.5,-0.0021305289,0.012783173,-0.0042610578,-0.038308594,0.038308594,-10.132624,-0.37799999,-1.6005,1.6485
